date,holiday
2017-01-01,New Year's Day
2017-02-20,Family Day
2017-04-14,Good Friday
2017-05-22,Victoria Day
2017-07-03,Canada Day
2017-08-07,British Columbia Day
2017-09-04,Labour Day
2017-10-09,Thanksgiving
2017-11-11,Remembrance Day
2017-12-24,Christmas Eve
2017-12-25,Christmas Day
2018-01-01,New Year's Day
2018-02-19,Family Day
2018-03-30,Good Friday
2018-05-21,Victoria Day
2018-07-02,Canada Day
2018-08-06,British Columbia Day
2018-09-03,Labour Day
2018-10-08,Thanksgiving
2018-11-11,Remembrance Day
2018-12-24,Christmas Eve
2018-12-25,Christmas Day
2019-01-01,New Year's Day
2019-02-18,Family Day
2019-04-19,Good Friday
2019-05-20,Victoria Day
2019-07-01,Canada Day
2019-08-05,British Columbia Day
2019-09-02,Labour Day
2019-10-14,Thanksgiving
2019-11-11,Remembrance Day
2019-12-24,Christmas Eve
2019-12-25,Christmas Day